Entry ID,Content ID,Datetime,Content Type,Category,Reaction Type,Sentiment,Score
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,9/13/2020 0:11:50,Photo,Healthy Eating,Intrigued,Positive,45.00
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,8/20/2020 18:17:06,Photo,Healthy Eating,Peeking,Neutral,35.00
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,2/11/2021 4:53:56,Photo,Healthy Eating,Scared,Negative,15.00
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,3/8/2021 10:40:53,Photo,Healthy Eating,Hate,Negative,5.00
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,3/28/2021 21:15:26,Photo,Healthy Eating,Disgust,Negative,0.00
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,5/25/2021 1:00:28,Photo,Healthy Eating,Hate,Negative,5.00
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,3/15/2021 12:17:43,Photo,Healthy Eating,Like,Positive,50.00
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,5/5/2021 16:26:43,Photo,Healthy Eating,Love,Positive,65.00
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,8/31/2020 0:21:56,Photo,Healthy Eating,Love,Positive,65.00
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,6/16/2021 3:02:28,Photo,Healthy Eating,Heart,Positive,60.00
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,7/7/2020 10:52:30,Photo,Healthy Eating,Indifferent,Neutral,20.00
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,8/20/2020 7:59:11,Photo,Healthy Eating,Peeking,Neutral,35.00
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,9/23/2020 11:15:19,Photo,Healthy Eating,Love,Positive,65.00
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,3/24/2021 5:56:19,Photo,Healthy Eating,Like,Positive,50.00
61,230c4e4d-70c3-461d-b42c-ec09396efb3f,12/7/2020 19:13:23,Photo,Healthy Eating,Hate,Negative,5.00
62,230c4e4d-70c3-461d-b42c-ec09396efb3f,8/3/2020 16:41:04,Photo,Healthy Eating,Super Love,Positive,75.00
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,1/10/2021 15:36:01,Photo,Healthy Eating,Adore,Positive,72.00
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,9/20/2020 8:48:13,Photo,Healthy Eating,Scared,Negative,15.00
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,7/20/2020 14:06:31,Photo,Healthy Eating,Cherish,Positive,70.00
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,10/24/2020 12:15:34,Photo,Healthy Eating,Adore,Positive,72.00
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,6/6/2021 1:27:19,Photo,Healthy Eating,Interested,Positive,30.00
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,12/25/2020 0:09:41,Photo,Healthy Eating,Heart,Positive,60.00
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,6/14/2021 7:56:56,Photo,Healthy Eating,Like,Positive,50.00
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,6/5/2021 18:00:42,Photo,Healthy Eating,Like,Positive,50.00
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,11/18/2020 23:37:37,Photo,Healthy Eating,Hate,Negative,5.00
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,5/9/2021 2:42:43,Photo,Healthy Eating,Interested,Positive,30.00
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,5/11/2021 8:38:47,Photo,Healthy Eating,Dislike,Negative,10.00
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,11/12/2020 8:00:05,Photo,Healthy Eating,Peeking,Neutral,35.00
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,6/21/2020 16:57:09,Photo,Healthy Eating,Heart,Positive,60.00
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,3/4/2021 23:58:54,Photo,Healthy Eating,Super Love,Positive,75.00
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,7/9/2020 16:47:07,Photo,Healthy Eating,Want,Positive,70.00
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,8/1/2020 19:16:01,Photo,Healthy Eating,Hate,Negative,5.00
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,11/23/2020 22:46:17,Photo,Healthy Eating,Dislike,Negative,10.00
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,12/11/2020 14:08:51,Photo,Healthy Eating,Scared,Negative,15.00
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,4/23/2021 23:41:18,Photo,Healthy Eating,Dislike,Negative,10.00
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,11/13/2020 0:33:42,Photo,Healthy Eating,Want,Positive,70.00
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,6/9/2021 10:13:56,Photo,Healthy Eating,Interested,Positive,30.00
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,10/29/2020 19:41:49,Photo,Healthy Eating,Love,Positive,65.00
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,5/14/2021 12:47:27,Photo,Healthy Eating,Heart,Positive,60.00
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,8/4/2020 5:40:33,Photo,Healthy Eating,Disgust,Negative,0.00
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,8/7/2020 4:09:29,Photo,Healthy Eating,Adore,Positive,72.00
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,10/23/2020 21:19:27,Photo,Healthy Eating,Adore,Positive,72.00
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,11/14/2020 23:53:51,Photo,Healthy Eating,Adore,Positive,72.00
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,8/4/2020 19:26:08,Photo,Healthy Eating,Worried,Negative,12.00
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,11/12/2020 4:54:46,Photo,Healthy Eating,Interested,Positive,30.00
92,356fff80-da4d-4785-9f43-bc1261031dc6,4/3/2021 12:17:12,Photo,Technology,Worried,Negative,12.00
93,356fff80-da4d-4785-9f43-bc1261031dc6,9/27/2020 22:15:54,Photo,Technology,Want,Positive,70.00
94,356fff80-da4d-4785-9f43-bc1261031dc6,10/27/2020 5:45:15,Photo,Technology,Heart,Positive,60.00
95,356fff80-da4d-4785-9f43-bc1261031dc6,10/15/2020 9:11:23,Photo,Technology,Scared,Negative,15.00
96,356fff80-da4d-4785-9f43-bc1261031dc6,5/7/2021 9:16:35,Photo,Technology,Heart,Positive,60.00
97,356fff80-da4d-4785-9f43-bc1261031dc6,9/16/2020 8:39:40,Photo,Technology,Hate,Negative,5.00
98,356fff80-da4d-4785-9f43-bc1261031dc6,10/29/2020 15:38:26,Photo,Technology,Indifferent,Neutral,20.00
99,01ab84dd-6364-4236-abbb-3f237db77180,5/24/2021 18:03:26,Video,Food,Scared,Negative,15.00
100,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2/25/2021 20:02:53,Gif,Cooking,Interested,Positive,30.00
101,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,5/2/2021 3:45:03,Gif,Cooking,Hate,Negative,5.00
102,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,1/28/2021 8:49:29,Gif,Cooking,Want,Positive,70.00
103,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2/15/2021 13:06:04,Gif,Cooking,Peeking,Neutral,35.00
104,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,11/4/2020 21:25:52,Gif,Cooking,Dislike,Negative,10.00
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,6/23/2020 22:12:03,Gif,Cooking,Love,Positive,65.00
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2/16/2021 4:01:15,Gif,Cooking,Cherish,Positive,70.00
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,1/3/2021 8:44:25,Gif,Cooking,Interested,Positive,30.00
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,11/25/2020 12:45:41,Gif,Cooking,Adore,Positive,72.00
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,12/3/2020 16:47:33,Gif,Cooking,Like,Positive,50.00
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,5/22/2021 21:03:24,Gif,Cooking,Like,Positive,50.00
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,1/18/2021 13:39:54,Gif,Cooking,Cherish,Positive,70.00
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,1/6/2021 0:35:24,Gif,Cooking,Indifferent,Neutral,20.00
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,5/14/2021 14:33:17,Gif,Cooking,Adore,Positive,72.00
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,5/27/2021 15:21:54,Gif,Cooking,Worried,Negative,12.00
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,7/21/2020 2:12:26,Gif,Cooking,Peeking,Neutral,35.00
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,5/26/2021 6:09:46,Gif,Cooking,Dislike,Negative,10.00
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2/25/2021 3:16:57,Gif,Cooking,Dislike,Negative,10.00
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,12/7/2020 22:50:16,Gif,Cooking,Intrigued,Positive,45.00
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,10/24/2020 14:06:32,Gif,Cooking,Indifferent,Neutral,20.00
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,9/1/2020 21:18:45,Gif,Cooking,Peeking,Neutral,35.00
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,5/10/2021 22:07:25,Gif,Cooking,Adore,Positive,72.00
122,3f8590c7-6ab2-4973-805a-90cdec355f05,2/12/2021 16:37:36,Video,Dogs,Cherish,Positive,70.00
123,3f8590c7-6ab2-4973-805a-90cdec355f05,4/28/2021 15:22:49,Video,Dogs,Heart,Positive,60.00
124,3f8590c7-6ab2-4973-805a-90cdec355f05,1/24/2021 0:38:50,Video,Dogs,Intrigued,Positive,45.00
125,3f8590c7-6ab2-4973-805a-90cdec355f05,3/18/2021 1:53:44,Video,Dogs,Worried,Negative,12.00
126,3f8590c7-6ab2-4973-805a-90cdec355f05,1/14/2021 7:21:32,Video,Dogs,Disgust,Negative,0.00
127,3f8590c7-6ab2-4973-805a-90cdec355f05,12/23/2020 4:11:42,Video,Dogs,Heart,Positive,60.00
128,3f8590c7-6ab2-4973-805a-90cdec355f05,5/21/2021 7:23:46,Video,Dogs,Hate,Negative,5.00
129,3f8590c7-6ab2-4973-805a-90cdec355f05,3/28/2021 23:25:16,Video,Dogs,Like,Positive,50.00
130,3f8590c7-6ab2-4973-805a-90cdec355f05,9/16/2020 7:33:24,Video,Dogs,Peeking,Neutral,35.00
131,3f8590c7-6ab2-4973-805a-90cdec355f05,11/8/2020 10:53:19,Video,Dogs,Indifferent,Neutral,20.00
132,3f8590c7-6ab2-4973-805a-90cdec355f05,3/6/2021 5:23:29,Video,Dogs,Heart,Positive,60.00
133,3f8590c7-6ab2-4973-805a-90cdec355f05,1/13/2021 23:35:56,Video,Dogs,Disgust,Negative,0.00
134,3f8590c7-6ab2-4973-805a-90cdec355f05,9/6/2020 22:35:47,Video,Dogs,Want,Positive,70.00
135,3f8590c7-6ab2-4973-805a-90cdec355f05,6/24/2020 9:31:00,Video,Dogs,Interested,Positive,30.00
136,3f8590c7-6ab2-4973-805a-90cdec355f05,2/7/2021 21:39:16,Video,Dogs,Hate,Negative,5.00
137,3f8590c7-6ab2-4973-805a-90cdec355f05,1/21/2021 18:28:01,Video,Dogs,Intrigued,Positive,45.00
138,3f8590c7-6ab2-4973-805a-90cdec355f05,2/27/2021 0:21:50,Video,Dogs,Dislike,Negative,10.00
139,3f8590c7-6ab2-4973-805a-90cdec355f05,8/22/2020 12:06:49,Video,Dogs,Worried,Negative,12.00
140,3f8590c7-6ab2-4973-805a-90cdec355f05,8/3/2020 6:29:58,Video,Dogs,Cherish,Positive,70.00
141,3f8590c7-6ab2-4973-805a-90cdec355f05,8/2/2020 6:20:43,Video,Dogs,Scared,Negative,15.00
142,3f8590c7-6ab2-4973-805a-90cdec355f05,6/4/2021 4:57:36,Video,Dogs,Want,Positive,70.00
143,3f8590c7-6ab2-4973-805a-90cdec355f05,10/21/2020 9:07:21,Video,Dogs,Super Love,Positive,75.00
144,3f8590c7-6ab2-4973-805a-90cdec355f05,12/26/2020 19:46:34,Video,Dogs,Dislike,Negative,10.00
145,3f8590c7-6ab2-4973-805a-90cdec355f05,3/2/2021 22:47:19,Video,Dogs,Scared,Negative,15.00
146,3f8590c7-6ab2-4973-805a-90cdec355f05,3/31/2021 9:48:00,Video,Dogs,Indifferent,Neutral,20.00
147,3f8590c7-6ab2-4973-805a-90cdec355f05,6/14/2021 13:44:48,Video,Dogs,Interested,Positive,30.00
148,3f8590c7-6ab2-4973-805a-90cdec355f05,12/27/2020 17:04:31,Video,Dogs,Scared,Negative,15.00
149,3f8590c7-6ab2-4973-805a-90cdec355f05,2/11/2021 3:51:01,Video,Dogs,Scared,Negative,15.00
150,3f8590c7-6ab2-4973-805a-90cdec355f05,12/7/2020 19:07:35,Video,Dogs,Interested,Positive,30.00
151,3f8590c7-6ab2-4973-805a-90cdec355f05,12/28/2020 8:31:27,Video,Dogs,Interested,Positive,30.00
152,3f8590c7-6ab2-4973-805a-90cdec355f05,10/26/2020 5:27:32,Video,Dogs,Interested,Positive,30.00
153,3f8590c7-6ab2-4973-805a-90cdec355f05,9/26/2020 18:43:58,Video,Dogs,Worried,Negative,12.00
154,3f8590c7-6ab2-4973-805a-90cdec355f05,11/25/2020 13:01:22,Video,Dogs,Scared,Negative,15.00
155,3f8590c7-6ab2-4973-805a-90cdec355f05,7/11/2020 5:51:54,Video,Dogs,Heart,Positive,60.00
156,3f8590c7-6ab2-4973-805a-90cdec355f05,3/19/2021 16:23:19,Video,Dogs,Heart,Positive,60.00
157,3f8590c7-6ab2-4973-805a-90cdec355f05,10/11/2020 18:31:06,Video,Dogs,Interested,Positive,30.00
158,3f8590c7-6ab2-4973-805a-90cdec355f05,11/2/2020 20:15:03,Video,Dogs,Heart,Positive,60.00
159,3f8590c7-6ab2-4973-805a-90cdec355f05,10/1/2020 3:35:13,Video,Dogs,Want,Positive,70.00
160,3f8590c7-6ab2-4973-805a-90cdec355f05,2/11/2021 20:10:20,Video,Dogs,Disgust,Negative,0.00
161,3f8590c7-6ab2-4973-805a-90cdec355f05,2/7/2021 15:59:10,Video,Dogs,Want,Positive,70.00
162,3f8590c7-6ab2-4973-805a-90cdec355f05,10/17/2020 11:46:24,Video,Dogs,Hate,Negative,5.00
163,3f8590c7-6ab2-4973-805a-90cdec355f05,8/9/2020 19:41:24,Video,Dogs,Like,Positive,50.00
164,3f8590c7-6ab2-4973-805a-90cdec355f05,2/1/2021 2:40:09,Video,Dogs,Love,Positive,65.00
165,3f8590c7-6ab2-4973-805a-90cdec355f05,1/30/2021 9:36:48,Video,Dogs,Adore,Positive,72.00
166,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,3/31/2021 15:24:36,Video,Technology,Want,Positive,70.00
167,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,2/5/2021 17:00:19,Video,Technology,Super Love,Positive,75.00
168,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,2/19/2021 16:29:59,Video,Technology,Heart,Positive,60.00
169,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,7/25/2020 0:00:21,Video,Technology,Worried,Negative,12.00
170,0bedca96-fb76-4287-a83c-17330ed39cce,7/13/2020 2:38:53,Photo,Soccer,Adore,Positive,72.00
171,0bedca96-fb76-4287-a83c-17330ed39cce,1/13/2021 13:11:03,Photo,Soccer,Indifferent,Neutral,20.00
172,0bedca96-fb76-4287-a83c-17330ed39cce,1/2/2021 16:46:38,Photo,Soccer,Worried,Negative,12.00
173,0bedca96-fb76-4287-a83c-17330ed39cce,11/26/2020 2:25:57,Photo,Soccer,Intrigued,Positive,45.00
174,0bedca96-fb76-4287-a83c-17330ed39cce,8/25/2020 19:18:58,Photo,Soccer,Want,Positive,70.00
175,0bedca96-fb76-4287-a83c-17330ed39cce,2/1/2021 0:15:07,Photo,Soccer,Hate,Negative,5.00
176,0bedca96-fb76-4287-a83c-17330ed39cce,6/4/2021 14:36:48,Photo,Soccer,Love,Positive,65.00
177,0bedca96-fb76-4287-a83c-17330ed39cce,8/19/2020 13:38:44,Photo,Soccer,Adore,Positive,72.00
178,0bedca96-fb76-4287-a83c-17330ed39cce,4/22/2021 2:08:07,Photo,Soccer,Cherish,Positive,70.00
179,0bedca96-fb76-4287-a83c-17330ed39cce,6/26/2020 10:33:08,Photo,Soccer,Super Love,Positive,75.00
180,0bedca96-fb76-4287-a83c-17330ed39cce,8/15/2020 18:16:38,Photo,Soccer,Like,Positive,50.00
181,0bedca96-fb76-4287-a83c-17330ed39cce,11/26/2020 13:42:17,Photo,Soccer,Love,Positive,65.00
182,b18cb63f-4c8e-44ee-a47f-541e95191d11,4/14/2021 0:56:54,Photo,Public Speaking,Want,Positive,70.00
183,b18cb63f-4c8e-44ee-a47f-541e95191d11,7/21/2020 21:27:18,Photo,Public Speaking,Indifferent,Neutral,20.00
184,b18cb63f-4c8e-44ee-a47f-541e95191d11,3/29/2021 6:57:35,Photo,Public Speaking,Dislike,Negative,10.00
185,b18cb63f-4c8e-44ee-a47f-541e95191d11,5/20/2021 16:11:03,Photo,Public Speaking,Want,Positive,70.00
186,b18cb63f-4c8e-44ee-a47f-541e95191d11,11/2/2020 6:09:02,Photo,Public Speaking,Like,Positive,50.00
187,b18cb63f-4c8e-44ee-a47f-541e95191d11,10/24/2020 15:37:55,Photo,Public Speaking,Indifferent,Neutral,20.00
188,b18cb63f-4c8e-44ee-a47f-541e95191d11,9/7/2020 14:42:05,Photo,Public Speaking,Heart,Positive,60.00
189,b18cb63f-4c8e-44ee-a47f-541e95191d11,3/4/2021 2:46:37,Photo,Public Speaking,Scared,Negative,15.00
190,b18cb63f-4c8e-44ee-a47f-541e95191d11,1/7/2021 14:08:59,Photo,Public Speaking,Adore,Positive,72.00
191,b18cb63f-4c8e-44ee-a47f-541e95191d11,7/6/2020 11:18:23,Photo,Public Speaking,Peeking,Neutral,35.00
192,b18cb63f-4c8e-44ee-a47f-541e95191d11,3/27/2021 4:56:15,Photo,Public Speaking,Like,Positive,50.00
193,b18cb63f-4c8e-44ee-a47f-541e95191d11,11/21/2020 21:25:27,Photo,Public Speaking,Intrigued,Positive,45.00
194,b18cb63f-4c8e-44ee-a47f-541e95191d11,8/22/2020 1:25:23,Photo,Public Speaking,Cherish,Positive,70.00
195,b18cb63f-4c8e-44ee-a47f-541e95191d11,6/14/2021 11:45:51,Photo,Public Speaking,Peeking,Neutral,35.00
196,b18cb63f-4c8e-44ee-a47f-541e95191d11,7/15/2020 19:28:53,Photo,Public Speaking,Worried,Negative,12.00
197,b18cb63f-4c8e-44ee-a47f-541e95191d11,3/21/2021 14:39:14,Photo,Public Speaking,Intrigued,Positive,45.00
198,b18cb63f-4c8e-44ee-a47f-541e95191d11,4/7/2021 3:15:32,Photo,Public Speaking,Super Love,Positive,75.00
199,b18cb63f-4c8e-44ee-a47f-541e95191d11,4/24/2021 6:56:18,Photo,Public Speaking,Cherish,Positive,70.00
200,b18cb63f-4c8e-44ee-a47f-541e95191d11,9/30/2020 14:05:52,Photo,Public Speaking,Heart,Positive,60.00
201,b18cb63f-4c8e-44ee-a47f-541e95191d11,7/19/2020 19:28:53,Photo,Public Speaking,Heart,Positive,60.00
202,b18cb63f-4c8e-44ee-a47f-541e95191d11,1/21/2021 7:08:24,Photo,Public Speaking,Scared,Negative,15.00
203,b18cb63f-4c8e-44ee-a47f-541e95191d11,1/31/2021 13:48:15,Photo,Public Speaking,Scared,Negative,15.00
204,b18cb63f-4c8e-44ee-a47f-541e95191d11,12/24/2020 3:24:57,Photo,Public Speaking,Hate,Negative,5.00
205,b18cb63f-4c8e-44ee-a47f-541e95191d11,5/27/2021 1:44:22,Photo,Public Speaking,Disgust,Negative,0.00
206,b18cb63f-4c8e-44ee-a47f-541e95191d11,2/13/2021 4:14:45,Photo,Public Speaking,Disgust,Negative,0.00
207,b18cb63f-4c8e-44ee-a47f-541e95191d11,7/14/2020 4:36:58,Photo,Public Speaking,Adore,Positive,72.00
208,b18cb63f-4c8e-44ee-a47f-541e95191d11,7/15/2020 16:03:17,Photo,Public Speaking,Dislike,Negative,10.00
209,b18cb63f-4c8e-44ee-a47f-541e95191d11,10/8/2020 17:23:39,Photo,Public Speaking,Like,Positive,50.00
210,b18cb63f-4c8e-44ee-a47f-541e95191d11,11/12/2020 23:55:59,Photo,Public Speaking,Heart,Positive,60.00
211,b18cb63f-4c8e-44ee-a47f-541e95191d11,2/21/2021 5:01:29,Photo,Public Speaking,Want,Positive,70.00
212,b18cb63f-4c8e-44ee-a47f-541e95191d11,7/9/2020 8:58:04,Photo,Public Speaking,Intrigued,Positive,45.00
213,b18cb63f-4c8e-44ee-a47f-541e95191d11,6/26/2020 23:45:10,Photo,Public Speaking,Adore,Positive,72.00
214,b18cb63f-4c8e-44ee-a47f-541e95191d11,11/20/2020 13:18:45,Photo,Public Speaking,Worried,Negative,12.00
215,b18cb63f-4c8e-44ee-a47f-541e95191d11,5/29/2021 21:34:57,Photo,Public Speaking,Like,Positive,50.00
216,b18cb63f-4c8e-44ee-a47f-541e95191d11,2/22/2021 2:48:34,Photo,Public Speaking,Indifferent,Neutral,20.00
217,b18cb63f-4c8e-44ee-a47f-541e95191d11,1/7/2021 18:39:43,Photo,Public Speaking,Scared,Negative,15.00
218,b18cb63f-4c8e-44ee-a47f-541e95191d11,10/1/2020 15:10:15,Photo,Public Speaking,Adore,Positive,72.00
